epoch,LossTrain/Training_loss,LossTrain/Training_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.5639106631278992,0.1308548003435135,0.4330558478832245,0.819203794002533,0.13985182344913483,0.6793519854545593,0.0003000000142492354,0.40570077300071716,0.5766695737838745,0.731503427028656,0.018742812797427177,0.010767987929284573
4,0.45566025376319885,0.08733299374580383,0.36832723021507263,0.46939602494239807,0.10871584713459015,0.3606801927089691,0.0003000000142492354,0.4197339415550232,0.6637133955955505,0.7978699207305908,0.07796721160411835,0.053487781435251236
6,0.4320812225341797,0.08479876071214676,0.34728243947029114,0.3888967037200928,0.08911314606666565,0.2997835874557495,0.0003000000142492354,0.39971402287483215,0.8197838664054871,0.9009683728218079,0.07906024158000946,0.054176777601242065
8,0.4290677011013031,0.076844722032547,0.3522229790687561,0.4043828845024109,0.08898475021123886,0.3153981864452362,0.0003000000142492354,0.4074503779411316,0.7147129774093628,0.8336240649223328,0.08257302641868591,0.056561775505542755
10,0.44483256340026855,0.07637514173984528,0.3684574067592621,0.33217325806617737,0.07114799320697784,0.2610252797603607,0.0003000000142492354,0.39243823289871216,0.7885379195213318,0.8817681670188904,0.08429006487131119,0.05754869058728218
12,0.4015653133392334,0.06616243720054626,0.33540287613868713,0.43739187717437744,0.08489828556776047,0.35249364376068115,0.0003000000142492354,0.4136034846305847,0.6218739748001099,0.7668585777282715,0.09581262618303299,0.06565357744693756
14,0.3540709316730499,0.06096544489264488,0.29310551285743713,0.3124106824398041,0.06044556945562363,0.25196507573127747,0.0003000000142492354,0.4087349474430084,0.7837100625038147,0.8787415027618408,0.1003531664609909,0.06845134496688843
16,0.35413941740989685,0.05553438514471054,0.2986050248146057,0.44754883646965027,0.07187458872795105,0.3756742775440216,0.0003000000142492354,0.40934550762176514,0.5717011094093323,0.7274934649467468,0.09926549345254898,0.0687219575047493
18,0.3397522270679474,0.0550076998770237,0.284744530916214,0.26727795600891113,0.05185466632246971,0.2154233306646347,0.0003000000142492354,0.3884405195713043,0.8476024270057678,0.9175159931182861,0.09160763770341873,0.06302862614393234
20,0.32145819067955017,0.05059800669550896,0.2708601951599121,0.4009751081466675,0.06619501858949661,0.3347800672054291,0.0003000000142492354,0.3995760977268219,0.5977601408958435,0.7482476234436035,0.09454935789108276,0.06561775505542755
22,0.30988946557044983,0.04946339130401611,0.2604260742664337,0.25221213698387146,0.04453939571976662,0.20767274498939514,0.0003000000142492354,0.4022001624107361,0.8452252745628357,0.9161216020584106,0.09986872225999832,0.06845361739397049
24,0.29862990975379944,0.04429025202989578,0.25433966517448425,0.1967819631099701,0.033394452184438705,0.16338755190372467,2.9999999242136255e-05,0.4037143886089325,0.8695391416549683,0.9302176237106323,0.13523003458976746,0.09208005666732788
26,0.30171290040016174,0.045689959079027176,0.25602293014526367,0.21402786672115326,0.03690746799111366,0.1771203577518463,2.9999999242136255e-05,0.40048474073410034,0.8311399221420288,0.9077841639518738,0.12468872219324112,0.0860275998711586
28,0.2701387405395508,0.04339727386832237,0.2267414778470993,0.18986865878105164,0.03485191613435745,0.15501675009727478,2.9999999242136255e-05,0.40273961424827576,0.8609152436256409,0.9252600073814392,0.12666483223438263,0.08679927885532379
30,0.28179633617401123,0.04304857179522514,0.2387477457523346,0.2006433755159378,0.03582725673913956,0.16481614112854004,2.9999999242136255e-05,0.3969615399837494,0.8467682003974915,0.9170270562171936,0.1276746392250061,0.0878286212682724
32,0.2826271653175354,0.04502464458346367,0.23760253190994263,0.20914484560489655,0.03694046288728714,0.1722044050693512,2.9999999242136255e-05,0.3893750309944153,0.8405936360359192,0.9133940935134888,0.12617777287960052,0.08604281395673752
34,0.28493261337280273,0.04352227970957756,0.24141034483909607,0.1822088360786438,0.032832756638526917,0.14937610924243927,2.9999999242136255e-05,0.41368716955184937,0.8704690933227539,0.9307495355606079,0.15484991669654846,0.1050344705581665
36,0.29137876629829407,0.04684852063655853,0.24453026056289673,0.18153752386569977,0.03284596651792526,0.1486915796995163,2.9999999242136255e-05,0.40448543429374695,0.8692939877510071,0.930077314376831,0.15558509528636932,0.10609179735183716
38,0.28023770451545715,0.040694158524274826,0.23954354226589203,0.1892930567264557,0.03237089142203331,0.1569221317768097,2.9999999242136255e-05,0.4205608665943146,0.8460111618041992,0.9165829420089722,0.15804898738861084,0.10746127367019653
40,0.2991008758544922,0.04388668015599251,0.25521421432495117,0.19160747528076172,0.03222073242068291,0.15938672423362732,2.9999999242136255e-05,0.38408002257347107,0.8554130792617798,0.9220728874206543,0.16601626574993134,0.11503861099481583
42,0.2964218854904175,0.04374752566218376,0.2526743710041046,0.18464016914367676,0.03190993890166283,0.15273024141788483,2.9999999242136255e-05,0.39576172828674316,0.8646238446235657,0.9273976683616638,0.16901083290576935,0.11725542694330215
44,0.27334070205688477,0.04194267839193344,0.23139803111553192,0.18869510293006897,0.03296681493520737,0.1557283103466034,2.9999999242136255e-05,0.407826691865921,0.8375634551048279,0.911602258682251,0.15826380252838135,0.10696785151958466
46,0.2910071611404419,0.045346010476350784,0.2456611692905426,0.1818288415670395,0.03154367581009865,0.15028513967990875,3.000000106112566e-06,0.4028288722038269,0.8511507511138916,0.919590950012207,0.17172463238239288,0.11847405135631561
48,0.2791031002998352,0.042560990899801254,0.23654210567474365,0.18005654215812683,0.0314679890871048,0.1485886126756668,3.000000106112566e-06,0.39388328790664673,0.857675313949585,0.9233856201171875,0.1741393357515335,0.12084716558456421
50,0.2826260030269623,0.044230569154024124,0.23839543759822845,0.1709291636943817,0.029544413089752197,0.1413847953081131,3.000000106112566e-06,0.4188166558742523,0.8663123846054077,0.9283680319786072,0.19060352444648743,0.13577358424663544
