epoch,LossTrain/Training_loss,LossTrain/Training_rmse_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_rmse_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.38766226172447205,0.29709434509277344,0.29632338881492615,0.5918312668800354,0.29794347286224365,0.49119582772254944,0.0003000000142492354,0.40741997957229614,0.657717227935791,0.7935215830802917,0.19550614058971405,0.11609312146902084
4,0.338524729013443,0.2711714506149292,0.2615847885608673,0.6234966516494751,0.3482843339443207,0.4891539514064789,0.0003000000142492354,0.40111634135246277,0.6303921937942505,0.7733012437820435,0.27517184615135193,0.1906420886516571
6,0.29230400919914246,0.2541593313217163,0.22483277320861816,0.5112360119819641,0.22939419746398926,0.45324549078941345,0.0003000000142492354,0.39105749130249023,0.6645711064338684,0.7984893321990967,0.3694342374801636,0.2984641194343567
8,0.26425373554229736,0.2419048547744751,0.20289050042629242,0.5480368733406067,0.2992282807826996,0.4531022012233734,0.0003000000142492354,0.38826653361320496,0.514860212802887,0.679746150970459,0.25669658184051514,0.16527436673641205
10,0.22208750247955322,0.22082237899303436,0.17140306532382965,0.6323774456977844,0.2527864873409271,0.5600621700286865,0.0003000000142492354,0.39980196952819824,0.43972739577293396,0.6108481287956238,0.32159143686294556,0.2586832642555237
12,0.231889009475708,0.2250387966632843,0.17882919311523438,0.45423367619514465,0.18842853605747223,0.41046780347824097,0.0003000000142492354,0.38211289048194885,0.653322696685791,0.790314793586731,0.37617573142051697,0.31202226877212524
14,0.1914902627468109,0.2063576877117157,0.14622749388217926,0.36441612243652344,0.1798374205827713,0.32675400376319885,0.0003000000142492354,0.3957950174808502,0.7323334813117981,0.8454878926277161,0.38445770740509033,0.32347968220710754
16,0.18803051114082336,0.2052839696407318,0.14332175254821777,0.4725598990917206,0.18786866962909698,0.42607995867729187,0.0003000000142492354,0.3832032084465027,0.6253679394721985,0.7695093750953674,0.3713616728782654,0.3047999143600464
18,0.15759867429733276,0.1916101723909378,0.11903298646211624,0.44133251905441284,0.1810617744922638,0.3963644206523895,0.0003000000142492354,0.3915137052536011,0.6376192569732666,0.7787148952484131,0.40150490403175354,0.3226113021373749
20,0.1703161895275116,0.1988995224237442,0.12863916158676147,0.6441417336463928,0.2236875742673874,0.579058051109314,0.0003000000142492354,0.3891666531562805,0.42801517248153687,0.5994547009468079,0.29048317670822144,0.23620159924030304
22,0.17443740367889404,0.1987677812576294,0.13246701657772064,0.4284926652908325,0.17540603876113892,0.3851310610771179,0.00027686735847964883,0.39130353927612305,0.645917534828186,0.78487229347229,0.3617199957370758,0.29641175270080566
24,0.1469750851392746,0.18870052695274353,0.10960274934768677,0.3360828161239624,0.18087759613990784,0.29375019669532776,0.00023465444974135607,0.41236522793769836,0.7251271605491638,0.8406652212142944,0.3921544551849365,0.32417982816696167
26,0.1535102128982544,0.19265472888946533,0.11441318690776825,0.4156106114387512,0.17812849581241608,0.3704207241535187,0.00017775828018784523,0.3905702829360962,0.6432046890258789,0.7828662395477295,0.3727806806564331,0.3078985810279846
