epoch,LossTrain/Training_loss,LossTrain/Training_rmse_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_rmse_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.2048506736755371,0.2438400685787201,0.14755094051361084,0.7028116583824158,0.32229846715927124,0.5978592038154602,0.0003000000142492354,0.41443324089050293,0.4411756694316864,0.6122440695762634,0.09151134639978409,0.05076939985156059
4,0.16271676123142242,0.21299341320991516,0.11908497661352158,0.4802570939064026,0.2561444342136383,0.38540875911712646,0.0003000000142492354,0.40514299273490906,0.6274839043617249,0.7711092233657837,0.37480610609054565,0.2897787094116211
6,0.13252928853034973,0.19581617414951324,0.09566731750965118,0.40607166290283203,0.1739264279603958,0.36446070671081543,0.0003000000142492354,0.4032353162765503,0.6516992449760437,0.7891258597373962,0.40610113739967346,0.32749494910240173
8,0.14561215043067932,0.20761385560035706,0.10426317900419235,0.42079973220825195,0.1946345418691635,0.37173575162887573,0.0003000000142492354,0.4086001217365265,0.634502649307251,0.7763862013816833,0.3664543032646179,0.28899091482162476
10,0.13794280588626862,0.20507663488388062,0.09757918119430542,0.2974478304386139,0.16286300122737885,0.2624683082103729,0.0003000000142492354,0.4167279005050659,0.7248765826225281,0.8404967784881592,0.3660624027252197,0.28939831256866455
12,0.1266636699438095,0.19185975193977356,0.09131298959255219,0.4918358325958252,0.1962856501340866,0.43965187668800354,0.0003000000142492354,0.39568138122558594,0.5761939883232117,0.7311205863952637,0.34125515818595886,0.276336133480072
14,0.11386451125144958,0.1883712261915207,0.07979852706193924,0.37493038177490234,0.1926092654466629,0.33090266585350037,0.0003000000142492354,0.4046793282032013,0.6443021893501282,0.7836785316467285,0.3865456283092499,0.3000193238258362
16,0.1181686595082283,0.19066350162029266,0.08319637179374695,0.3578704595565796,0.17047825455665588,0.31669560074806213,0.0003000000142492354,0.4189422130584717,0.6693577766418457,0.801934540271759,0.3695891797542572,0.2924036681652069
18,0.12319641560316086,0.18992792069911957,0.0884811207652092,0.3581928312778473,0.17665424942970276,0.31860849261283875,0.0003000000142492354,0.40300625562667847,0.6793018579483032,0.8090288639068604,0.3588768541812897,0.2816949486732483
20,0.12717460095882416,0.1918327510356903,0.09178764373064041,0.29188990592956543,0.15873295068740845,0.2571021318435669,0.0003000000142492354,0.4010727107524872,0.7191991209983826,0.8366676568984985,0.37268707156181335,0.2956870198249817
22,0.12076609581708908,0.1925528198480606,0.08514752238988876,0.34405386447906494,0.17058058083057404,0.3069579303264618,0.00027686735847964883,0.39521002769470215,0.6910366415977478,0.8172935247421265,0.3726687431335449,0.2941795885562897
24,0.12850642204284668,0.1939157247543335,0.09228086471557617,0.3594653904438019,0.17125995457172394,0.3191643953323364,0.00023465444974135607,0.3963771462440491,0.6727854609489441,0.8043893575668335,0.3978605568408966,0.3203168511390686
26,0.12239914387464523,0.18817472457885742,0.08836670219898224,0.30769094824790955,0.16296298801898956,0.271110475063324,0.00017775828018784523,0.38496050238609314,0.7145159244537354,0.8334900140762329,0.4042683243751526,0.3263159394264221
28,0.11744251102209091,0.18295973539352417,0.08529114723205566,0.2809346914291382,0.158855602145195,0.24871011078357697,0.00011750596604542807,0.3929998278617859,0.7253185510635376,0.840793788433075,0.41172271966934204,0.3273959159851074
30,0.1084822490811348,0.1884278506040573,0.07440029829740524,0.27022385597229004,0.1508605033159256,0.23856119811534882,6.445764302043244e-05,0.42089584469795227,0.7453002333641052,0.8540653586387634,0.40367037057876587,0.32406455278396606
32,0.11410807073116302,0.18844811618328094,0.079999178647995,0.3086796998977661,0.15786218643188477,0.272256463766098,2.6531826733844355e-05,0.4159872829914093,0.7114908695220947,0.8314282298088074,0.4025200307369232,0.32726699113845825
34,0.11054796725511551,0.18448245525360107,0.07790142297744751,0.29551422595977783,0.1549248993396759,0.2608877718448639,7.796700629114639e-06,0.41367384791374207,0.7266197204589844,0.8416673541069031,0.40693074464797974,0.3303249478340149
36,0.0958230122923851,0.17347683012485504,0.06685428321361542,0.2825714349746704,0.15230531990528107,0.24964430928230286,8.104450898827054e-06,0.4211307764053345,0.7366571426391602,0.848362147808075,0.415772020816803,0.336375892162323
38,0.10439123213291168,0.18069317936897278,0.07298024743795395,0.29156407713890076,0.15322959423065186,0.25855252146720886,2.357571793254465e-05,0.4059869647026062,0.7374600768089294,0.8488944172859192,0.4181113839149475,0.3377878665924072
40,0.09751146286725998,0.17473357915878296,0.06831195205450058,0.310287743806839,0.15982316434383392,0.2727810740470886,4.777490539709106e-05,0.404275119304657,0.7024402618408203,0.8252156972885132,0.40693727135658264,0.3322255611419678
42,0.10087253898382187,0.17825181782245636,0.07041752338409424,0.30121853947639465,0.15977659821510315,0.2679479122161865,7.328971696551889e-05,0.40877288579940796,0.7272887229919434,0.8421159386634827,0.408674955368042,0.33092695474624634
44,0.10686873644590378,0.1852482259273529,0.07376337051391602,0.2934850752353668,0.1536117047071457,0.2600676417350769,9.336529183201492e-05,0.40899038314819336,0.7326668500900269,0.8457099795341492,0.407554566860199,0.33349519968032837
46,0.10973486304283142,0.18503092229366302,0.07686853408813477,0.2776559591293335,0.1524588018655777,0.2456558346748352,0.00010325510083930567,0.40645962953567505,0.7474119067192078,0.8554502129554749,0.4195481836795807,0.3401893973350525
48,0.10789521038532257,0.18340113759040833,0.07549695670604706,0.27733439207077026,0.1532261222600937,0.24482819437980652,0.0001010314081213437,0.40352189540863037,0.7427329421043396,0.85237717628479,0.40960413217544556,0.33233028650283813
50,0.11248771846294403,0.1881156712770462,0.07824131101369858,0.3743417263031006,0.16786856949329376,0.33249208331108093,8.772775618126616e-05,0.41855889558792114,0.6711543798446655,0.8032224774360657,0.400932252407074,0.3261640667915344
52,0.10504422336816788,0.17784030735492706,0.07451131939888,0.2633485496044159,0.15105792880058289,0.23158204555511475,6.683452375000343e-05,0.39366528391838074,0.7435569763183594,0.8529196381568909,0.4059138894081116,0.32997986674308777
54,0.08923058211803436,0.16661541163921356,0.06269734352827072,0.2951315641403198,0.1563515067100525,0.2592793405056,4.3304316932335496e-05,0.4157410264015198,0.7125481367111206,0.8321496248245239,0.40124696493148804,0.3264859616756439
56,0.0950147956609726,0.17126525938510895,0.06690249592065811,0.2803328037261963,0.15386216342449188,0.2461092472076416,2.231801045127213e-05,0.40276849269866943,0.7259119153022766,0.8411923050880432,0.40540632605552673,0.32908517122268677
58,0.09949512779712677,0.171464741230011,0.07132355123758316,0.27637168765068054,0.15288667380809784,0.24285613000392914,8.097219506453257e-06,0.397495299577713,0.7334667444229126,0.8462426066398621,0.4065708518028259,0.33172035217285156
60,0.0966988354921341,0.17068110406398773,0.06869420409202576,0.27686944603919983,0.15324214100837708,0.2430846393108368,3.0202015750546707e-06,0.3956405818462372,0.7309791445732117,0.844584584236145,0.4104917645454407,0.33546000719070435
62,0.10948094725608826,0.18133661150932312,0.07774927467107773,0.28473177552223206,0.1544485241174698,0.24987417459487915,7.215192908915924e-06,0.4047833979129791,0.7218504548072815,0.8384588956832886,0.3996569812297821,0.3259107172489166
64,0.10559562593698502,0.1811189204454422,0.0740407407283783,0.269147127866745,0.15136858820915222,0.2364768534898758,1.86892048077425e-05,0.39872801303863525,0.7373499274253845,0.8488214612007141,0.4092537760734558,0.3334590792655945
66,0.103684201836586,0.18049243092536926,0.07224904000759125,0.2905745506286621,0.1547909379005432,0.25656506419181824,3.392810685909353e-05,0.41489630937576294,0.7282760739326477,0.8427774906158447,0.3962162435054779,0.32044684886932373
68,0.10557614266872406,0.18615329265594482,0.0723312571644783,0.24373838305473328,0.14857880771160126,0.21397994458675385,4.8802867240738124e-05,0.429508239030838,0.7721656560897827,0.8714373111724854,0.4050806164741516,0.3307396471500397
70,0.09533864259719849,0.17329677939414978,0.06651493161916733,0.2939010560512543,0.1566113531589508,0.2583580017089844,5.955821688985452e-05,0.409621000289917,0.7177204489707947,0.8356661796569824,0.3915015161037445,0.31608930230140686
72,0.10769762098789215,0.18235813081264496,0.0754997730255127,0.2768387794494629,0.15162843465805054,0.24509218335151672,6.365449371514842e-05,0.3972660303115845,0.7548006176948547,0.8602693676948547,0.4109891951084137,0.33511972427368164
74,0.10825254768133163,0.17937476933002472,0.07711321115493774,0.3864258825778961,0.17005756497383118,0.3436697721481323,6.0279780882410705e-05,0.40086793899536133,0.6700756549835205,0.8024494051933289,0.38123956322669983,0.30852010846138
76,0.10646979510784149,0.18233120441436768,0.07448289543390274,0.32447126507759094,0.1593460887670517,0.2885780930519104,5.043429337092675e-05,0.4054873287677765,0.7224494218826294,0.8388627767562866,0.4068244397640228,0.33258557319641113
78,0.09823795408010483,0.17222172021865845,0.06986191123723984,0.3123942017555237,0.16004109382629395,0.27518612146377563,3.659173671621829e-05,0.4072132110595703,0.7088836431503296,0.8296453952789307,0.39434343576431274,0.3240465223789215
80,0.09593809396028519,0.1727411299943924,0.06731080263853073,0.3130657374858856,0.1595504730939865,0.27754029631614685,2.2038622773834504e-05,0.4065772593021393,0.7283467054367065,0.8428248167037964,0.3990073800086975,0.326902836561203
82,0.08801845461130142,0.16285154223442078,0.06250030547380447,0.3046857714653015,0.15982753038406372,0.26781773567199707,7.999999979801942e-06,0.4030318260192871,0.7122535705566406,0.8319487571716309,0.3930535912513733,0.3227742910385132
84,0.09534483402967453,0.17158453166484833,0.06674902141094208,0.28651633858680725,0.15651783347129822,0.25194650888442993,7.999999979801942e-06,0.4064197838306427,0.7348833084106445,0.8471846580505371,0.3959544003009796,0.32633933424949646
86,0.08941999077796936,0.1709551364183426,0.061405327171087265,0.27964353561401367,0.15537233650684357,0.24557067453861237,7.999999979801942e-06,0.4075376093387604,0.7364447712898254,0.8482213616371155,0.3925072252750397,0.32241904735565186
88,0.093405582010746,0.17172235250473022,0.06502902507781982,0.27704811096191406,0.15521188080310822,0.24337515234947205,7.999999979801942e-06,0.39779984951019287,0.742896556854248,0.852484941482544,0.39098548889160156,0.32123684883117676
90,0.09599019587039948,0.1677037924528122,0.06883764266967773,0.32141396403312683,0.16310712695121765,0.2837669253349304,7.999999979801942e-06,0.39796608686447144,0.716771125793457,0.8350223898887634,0.3822450637817383,0.31345656514167786
92,0.09834776818752289,0.18028293550014496,0.06723910570144653,0.30667760968208313,0.1615682989358902,0.2697123885154724,7.999999979801942e-06,0.40288615226745605,0.7215951085090637,0.8382866382598877,0.3849726915359497,0.3167303800582886
94,0.09040674567222595,0.1700267344713211,0.06271862238645554,0.28873583674430847,0.157841295003891,0.2536679208278656,7.999999979801942e-06,0.4101436138153076,0.7340232729911804,0.8466129302978516,0.39164867997169495,0.3195611834526062
96,0.09755552560091019,0.17761196196079254,0.06735145300626755,0.2931159436702728,0.15897302329540253,0.25720906257629395,7.999999979801942e-06,0.39808085560798645,0.7255030274391174,0.840917706489563,0.3887893855571747,0.31897521018981934
98,0.08876832574605942,0.16944053769111633,0.060982801020145416,0.26044195890426636,0.1527535766363144,0.22747182846069336,7.999999979801942e-06,0.41404789686203003,0.7443571090698242,0.853445827960968,0.3925091326236725,0.32213348150253296
