epoch,Training_loss,Validation_loss,Burned_pixels,IOU,F1
3,1.9308586120605469,1.2348979711532593,20849684.0,0.22324839234352112,0.365009069442749
6,1.4838837385177612,1.0472698211669922,20863612.0,0.28831788897514343,0.44758808612823486
9,1.0336960554122925,1.0419301986694336,18465224.0,0.27600252628326416,0.43260493874549866
12,1.0254205465316772,1.0592281818389893,19297732.0,0.2736254632472992,0.42967963218688965
15,0.8855553865432739,1.1127737760543823,19435796.0,0.2606477439403534,0.41351398825645447
18,1.165096402168274,1.1675398349761963,17143898.0,0.2587478756904602,0.4111194908618927
21,0.8859810829162598,0.9860715270042419,21346484.0,0.28491511940956116,0.44347694516181946
24,0.7436178922653198,1.0410395860671997,19275838.0,0.2708982825279236,0.4263099431991577
27,0.7400194406509399,0.9589138627052307,21490056.0,0.2956617474555969,0.4563872516155243
30,0.7081261277198792,1.012556791305542,18893668.0,0.2862553596496582,0.44509878754615784
33,0.7712922692298889,0.9105672240257263,17744244.0,0.31786492466926575,0.4823937714099884
36,0.816907525062561,0.9631993770599365,19084184.0,0.3044115900993347,0.4667416214942932
39,0.7333358526229858,0.9898406863212585,17847286.0,0.2978917062282562,0.4590394198894501
42,0.6434679627418518,0.928154468536377,21327196.0,0.3061431348323822,0.4687742590904236
45,0.7938459515571594,0.8647588491439819,18110066.0,0.3382662832736969,0.5055291056632996
48,0.7436621785163879,0.9597657322883606,19484488.0,0.3073309659957886,0.47016552090644836
