epoch,LossTrain/Training_loss,LossTrain/Training_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.18827681243419647,0.0587427020072937,0.12953411042690277,0.441445916891098,0.03909791260957718,0.4023481011390686,0.0003000000142492354,0.40069299936294556,0.7099729180335999,0.8303908109664917,0.28265267610549927,0.28265267610549927
4,0.1727084219455719,0.045734256505966187,0.1269741654396057,0.447895348072052,0.06167955696582794,0.3862158954143524,0.0003000000142492354,0.39070677757263184,0.5743549466133118,0.7296384572982788,0.20364567637443542,0.20364567637443542
6,0.17010816931724548,0.047379981726408005,0.12272819131612778,0.3400985598564148,0.034035954624414444,0.3060625493526459,0.0003000000142492354,0.40220555663108826,0.714012622833252,0.833147406578064,0.29788440465927124,0.29788440465927124
8,0.18432635068893433,0.051648594439029694,0.13267776370048523,0.4096759259700775,0.04604959487915039,0.3636263608932495,0.0003000000142492354,0.39822036027908325,0.6186341047286987,0.7643902897834778,0.2822970151901245,0.2822970151901245
10,0.16249828040599823,0.04568854719400406,0.11680973321199417,0.23431037366390228,0.017409194260835648,0.21690119802951813,0.0003000000142492354,0.3944768011569977,0.8372028470039368,0.9113885760307312,0.3100254237651825,0.3100254237651825
12,0.1462954729795456,0.03952690213918686,0.10676857084035873,0.27374717593193054,0.02195168472826481,0.25179558992385864,0.0003000000142492354,0.3950800895690918,0.8234604597091675,0.9031843543052673,0.3057153820991516,0.3057153820991516
14,0.1361151486635208,0.039685774594545364,0.09642937779426575,0.3006555736064911,0.017029669135808945,0.283625990152359,0.0003000000142492354,0.39126089215278625,0.8419008255004883,0.9141652584075928,0.3260493576526642,0.3260493576526642
16,0.1510012298822403,0.03992452099919319,0.1110767126083374,0.32906025648117065,0.02751873806118965,0.30154159665107727,0.0003000000142492354,0.38424333930015564,0.7368544936180115,0.8484930992126465,0.2882710099220276,0.2882710099220276
18,0.1408669650554657,0.0394989438354969,0.1013680249452591,0.25758036971092224,0.02166752703487873,0.23591282963752747,0.0003000000142492354,0.38597413897514343,0.8312791585922241,0.9078671932220459,0.3231658935546875,0.3231658935546875
20,0.12097962945699692,0.035076484084129333,0.08590314537286758,0.23030443489551544,0.02278040535748005,0.20752404630184174,0.0003000000142492354,0.39785754680633545,0.840330958366394,0.9132389426231384,0.26185616850852966,0.26185616850852966
22,0.1479308307170868,0.0410945750772953,0.10683625936508179,0.21847999095916748,0.017949169501662254,0.20053082704544067,0.0003000000142492354,0.39932772517204285,0.8498313426971436,0.9188203811645508,0.31553369760513306,0.31553369760513306
24,0.13096940517425537,0.036527927964925766,0.0944414734840393,0.24800994992256165,0.018261967226862907,0.22974807024002075,2.9999999242136255e-05,0.3961736261844635,0.8513359427452087,0.9196990132331848,0.31762635707855225,0.31762635707855225
26,0.1268385797739029,0.03542645275592804,0.09141211956739426,0.22801294922828674,0.014355051331222057,0.2136579155921936,2.9999999242136255e-05,0.3912384808063507,0.8571422696113586,0.9230766296386719,0.34377819299697876,0.34377819299697876
28,0.12193317711353302,0.03243917599320412,0.0894939973950386,0.20615442097187042,0.015114962123334408,0.19103945791721344,2.9999999242136255e-05,0.38138747215270996,0.8583950400352478,0.9238025546073914,0.3335966169834137,0.3335966169834137
30,0.12140942364931107,0.032672978937625885,0.08873644471168518,0.20222513377666473,0.015011418610811234,0.18721376359462738,2.9999999242136255e-05,0.38026365637779236,0.8566706776618958,0.9228030443191528,0.34216174483299255,0.34216174483299255
32,0.14472587406635284,0.03844781965017319,0.10627805441617966,0.20698845386505127,0.014783867634832859,0.1922045797109604,2.9999999242136255e-05,0.3813537061214447,0.8595689535140991,0.9244819283485413,0.3344830870628357,0.3344830870628357
34,0.12266293913125992,0.03554585948586464,0.08711708337068558,0.20040370523929596,0.014255077578127384,0.18614861369132996,2.9999999242136255e-05,0.38842150568962097,0.8617317080497742,0.9257313013076782,0.3459225296974182,0.3459225296974182
36,0.1349862962961197,0.03592347726225853,0.09906281530857086,0.24261346459388733,0.02220379374921322,0.22040963172912598,2.9999999242136255e-05,0.36885499954223633,0.8425995111465454,0.9145768880844116,0.31982266902923584,0.31982266902923584
38,0.12486343085765839,0.03578885272145271,0.08907457441091537,0.22977420687675476,0.021700406447052956,0.20807377994060516,2.9999999242136255e-05,0.3881998360157013,0.8620965480804443,0.9259417653083801,0.32422012090682983,0.32422012090682983
40,0.11865641921758652,0.0331614688038826,0.08549495041370392,0.260371595621109,0.024249857291579247,0.23612180352210999,2.9999999242136255e-05,0.38537707924842834,0.8495369553565979,0.9186483025550842,0.31540536880493164,0.31540536880493164
42,0.12347559630870819,0.032194025814533234,0.09128157049417496,0.2512378394603729,0.02836592122912407,0.22287191450595856,2.9999999242136255e-05,0.37415099143981934,0.8533715605735779,0.9208855628967285,0.31802377104759216,0.31802377104759216
44,0.10544845461845398,0.028592949733138084,0.07685550302267075,0.21519674360752106,0.019774792715907097,0.19542193412780762,2.9999999242136255e-05,0.37832045555114746,0.8578775525093079,0.9235028624534607,0.330817848443985,0.330817848443985
46,0.1146366149187088,0.032893359661102295,0.0817432552576065,0.20916125178337097,0.02104451134800911,0.18811674416065216,3.000000106112566e-06,0.41219714283943176,0.8638052344322205,0.9269264936447144,0.31989800930023193,0.31989800930023193
48,0.12024351954460144,0.03481929749250412,0.08542421460151672,0.20806334912776947,0.018906665965914726,0.1891566663980484,3.000000106112566e-06,0.39536142349243164,0.86091548204422,0.9252601861953735,0.32255133986473083,0.32255133986473083
50,0.11185411363840103,0.030170373618602753,0.08168374001979828,0.204949289560318,0.017168303951621056,0.18778100609779358,3.000000106112566e-06,0.37749147415161133,0.8635984659194946,0.9268074631690979,0.3354203402996063,0.3354203402996063
52,0.11969416588544846,0.03394927456974983,0.08574489504098892,0.20875237882137299,0.019147047773003578,0.18960537016391754,3.000000106112566e-06,0.3900041878223419,0.8623949885368347,0.9261139631271362,0.33199214935302734,0.33199214935302734
54,0.11181362718343735,0.03101629577577114,0.08079732954502106,0.21005485951900482,0.018858466297388077,0.19119642674922943,3.000000106112566e-06,0.38929247856140137,0.8636430501937866,0.9268330335617065,0.3338645100593567,0.3338645100593567
56,0.12232988327741623,0.03455795720219612,0.0877719298005104,0.2075185626745224,0.017929162830114365,0.18958944082260132,3.000000106112566e-06,0.37956398725509644,0.8609726428985596,0.9252932071685791,0.33858418464660645,0.33858418464660645
58,0.11396853625774384,0.031504739075899124,0.08246379345655441,0.23205991089344025,0.028822259977459908,0.20323774218559265,3.000000106112566e-06,0.38853171467781067,0.8589940667152405,0.9241492748260498,0.3240894675254822,0.3240894675254822
60,0.11010019481182098,0.03040541708469391,0.07969478517770767,0.22509269416332245,0.02465502731502056,0.20043763518333435,3.000000106112566e-06,0.37675321102142334,0.8601654767990112,0.9248268008232117,0.32856181263923645,0.32856181263923645
62,0.10830044001340866,0.031001130118966103,0.07729930430650711,0.21152497828006744,0.018942106515169144,0.1925828605890274,3.000000106112566e-06,0.38952580094337463,0.8598800301551819,0.9246618151664734,0.33811986446380615,0.33811986446380615
64,0.10156001895666122,0.027687355875968933,0.07387266308069229,0.21277646720409393,0.01905287802219391,0.1937236338853836,3.000000106112566e-06,0.3679070472717285,0.8643854260444641,0.9272603988647461,0.33896565437316895,0.33896565437316895
66,0.12849771976470947,0.035446301102638245,0.09305141866207123,0.20902779698371887,0.017904896289110184,0.19112291932106018,3.000000106112566e-06,0.39585286378860474,0.8629418015480042,0.9264292120933533,0.3418825566768646,0.3418825566768646
68,0.11107566952705383,0.03256508708000183,0.078510582447052,0.22331739962100983,0.021710917353630066,0.20160646736621857,3.000000106112566e-07,0.39214441180229187,0.8606759309768677,0.9251218438148499,0.3365182876586914,0.3365182876586914
70,0.118158720433712,0.034875329583883286,0.08328338712453842,0.24614641070365906,0.0353408120572567,0.21080562472343445,3.000000106112566e-07,0.3812226951122284,0.8551350831985474,0.921911358833313,0.3148922920227051,0.3148922920227051
72,0.11749101430177689,0.03327709436416626,0.08421391993761063,0.21592259407043457,0.019881805405020714,0.1960408240556717,3.000000106112566e-07,0.39447927474975586,0.8620229363441467,0.9258994460105896,0.33664727210998535,0.33664727210998535
74,0.11807788908481598,0.034207675606012344,0.08387021720409393,0.22217217087745667,0.022001976147294044,0.20017023384571075,3.000000106112566e-07,0.38604679703712463,0.8605701327323914,0.9250606894493103,0.33488959074020386,0.33488959074020386
76,0.12496139854192734,0.03588399663567543,0.0890774056315422,0.21650736033916473,0.020705247297883034,0.19580209255218506,3.000000106112566e-07,0.4087553322315216,0.8631730079650879,0.9265623688697815,0.3373033106327057,0.3373033106327057
