epoch,LossTrain/Training_loss,LossTrain/Training_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.21034714579582214,0.05310303717851639,0.15724411606788635,0.8243086934089661,0.14907431602478027,0.6752344965934753,0.0003000000142492354,0.3957500755786896,0.3198886513710022,0.4847206771373749,0.024248044937849045,0.024248044937849045
4,0.1534755825996399,0.039246756583452225,0.11422882229089737,0.33713990449905396,0.02105529047548771,0.31608468294143677,0.0003000000142492354,0.4040408432483673,0.7672982811927795,0.8683290481567383,0.30991390347480774,0.30991390347480774
6,0.1270035356283188,0.03738557547330856,0.08961796015501022,0.3869763910770416,0.02166975475847721,0.3653065860271454,0.0003000000142492354,0.42855575680732727,0.8292068243026733,0.9066299200057983,0.32115817070007324,0.32115817070007324
8,0.14254772663116455,0.03699372336268425,0.10555399954319,0.26031237840652466,0.01903453841805458,0.24127793312072754,0.0003000000142492354,0.392117977142334,0.7953048944473267,0.8859831094741821,0.3404548764228821,0.3404548764228821
10,0.1377541869878769,0.03733479231595993,0.10041938722133636,0.3112315833568573,0.018137454986572266,0.2930941879749298,0.0003000000142492354,0.400523841381073,0.802912175655365,0.8906835913658142,0.3335925042629242,0.3335925042629242
12,0.14626458287239075,0.03899222984910011,0.10727234929800034,0.5383182168006897,0.05935048684477806,0.47896769642829895,0.0003000000142492354,0.415054053068161,0.4241080582141876,0.5956121683120728,0.26313263177871704,0.26313263177871704
14,0.14441584050655365,0.03887142241001129,0.10554441064596176,0.3265732228755951,0.017120765522122383,0.3094524145126343,0.0003000000142492354,0.3962337076663971,0.7695268392562866,0.8697543740272522,0.3492661118507385,0.3492661118507385
16,0.1366204023361206,0.03621530532836914,0.10040509700775146,0.27431392669677734,0.021766331046819687,0.25254765152931213,0.0003000000142492354,0.4068170189857483,0.7400804758071899,0.8506278395652771,0.3239921033382416,0.3239921033382416
18,0.13650141656398773,0.03849097713828087,0.09801044315099716,0.24548353254795074,0.014989964663982391,0.23049350082874298,0.0003000000142492354,0.4006040692329407,0.8565188646316528,0.9227149486541748,0.35111624002456665,0.35111624002456665
20,0.12543119490146637,0.034901537001132965,0.09052965044975281,0.5356147289276123,0.055878616869449615,0.4797361493110657,0.0003000000142492354,0.4021625816822052,0.4512074291706085,0.6218372583389282,0.25760143995285034,0.25760143995285034
