epoch,LossTrain/Training_loss,LossTrain/Training_rmse_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_rmse_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.09827041625976562,0.23032069206237793,0.041807956993579865,0.17293503880500793,0.336961954832077,0.05938661843538284,0.0003000000142492354,0.42731788754463196,0.32465702295303345,0.4901752173900604,0.04475076496601105,0.024385295808315277
4,0.07600664347410202,0.20205141603946686,0.032668404281139374,0.06457864493131638,0.17243513464927673,0.02865668758749962,0.0003000000142492354,0.41813960671424866,0.6821697950363159,0.8110593557357788,0.39770153164863586,0.3231266736984253
6,0.07710333168506622,0.20291098952293396,0.03315243497490883,0.07875173538923264,0.17479535937309265,0.038143135607242584,0.0003000000142492354,0.4130227565765381,0.6398007273674011,0.7803395986557007,0.37621915340423584,0.30543217062950134
8,0.06935099512338638,0.1959712654352188,0.02884626016020775,0.06771121174097061,0.1648428738117218,0.032821379601955414,0.0003000000142492354,0.43062207102775574,0.690028190612793,0.8165878057479858,0.3632473945617676,0.2871417999267578
10,0.0710568055510521,0.19788596034049988,0.029405910521745682,0.08159233629703522,0.16937072575092316,0.042635228484869,0.0003000000142492354,0.44007936120033264,0.6711151599884033,0.8031943440437317,0.3867046535015106,0.3159030079841614
12,0.06703861057758331,0.1939730942249298,0.027283478528261185,0.06252588331699371,0.1577409952878952,0.029772888869047165,0.0003000000142492354,0.4166162610054016,0.7178419232368469,0.835748553276062,0.39822956919670105,0.32154950499534607
14,0.062280137091875076,0.18551889061927795,0.02560318633913994,0.10944650322198868,0.23754841089248657,0.04998026415705681,0.0003000000142492354,0.41399797797203064,0.5154321789741516,0.6802443861961365,0.33814066648483276,0.2530091106891632
16,0.06930872052907944,0.19432757794857025,0.0292325671762228,0.06526640802621841,0.16031548380851746,0.030321642756462097,0.0003000000142492354,0.4059098958969116,0.7039197683334351,0.826235830783844,0.3953000605106354,0.32304564118385315
18,0.057510606944561005,0.17813527584075928,0.023572828620672226,0.07244548946619034,0.16942009329795837,0.036575134843587875,0.0003000000142492354,0.4211757183074951,0.690830647945404,0.8171494603157043,0.37920546531677246,0.3038972318172455
20,0.06684426218271255,0.19392706453800201,0.02691129595041275,0.07651465386152267,0.18892359733581543,0.03627102077007294,0.0003000000142492354,0.4216415584087372,0.6726264953613281,0.8042757511138916,0.38207507133483887,0.30404970049858093
