epoch,Training_loss,Validation_loss,Burned_pixels,IOU,F1
5,0.579217791557312,1.1965618133544922,35831292.0,0.23278962075710297,0.37766319513320923
10,0.5323590636253357,0.4265754520893097,38058812.0,0.5988619923591614,0.749110221862793
15,0.3933398723602295,0.4401453733444214,35936224.0,0.6683751344680786,0.8012287616729736
20,0.4250837564468384,0.5073229074478149,35488396.0,0.6759200096130371,0.8066256642341614
25,0.4545801877975464,1.6421011686325073,34372460.0,0.4979163408279419,0.664811909198761
30,0.4941307008266449,0.701005756855011,36281960.0,0.5396049618721008,0.7009654641151428
35,0.3942478597164154,0.3893810212612152,36772264.0,0.6931154131889343,0.8187456130981445
40,0.3604993224143982,0.5278638005256653,36047376.0,0.46791714429855347,0.6375253200531006
45,0.3765280246734619,0.5286890268325806,33705740.0,0.4328840672969818,0.6042136549949646
50,0.3647973835468292,0.4034331440925598,35817392.0,0.6872497797012329,0.8146390914916992
55,0.3305055797100067,0.45209047198295593,34698032.0,0.6132522821426392,0.7602683305740356
60,0.3268943428993225,0.36236876249313354,36266436.0,0.6781752109527588,0.8082293272018433
65,0.2921309173107147,0.37559089064598083,36554896.0,0.713127076625824,0.8325443267822266
70,0.335580974817276,0.3803209960460663,37293776.0,0.6382550001144409,0.7791888117790222
75,0.2539638876914978,0.6094460487365723,39428236.0,0.7266806364059448,0.8417081832885742
80,0.2924308776855469,0.4537719488143921,37816048.0,0.6606189012527466,0.7956297397613525
85,0.2551133930683136,0.43148738145828247,36598360.0,0.7258392572402954,0.8411435484886169
90,0.31234097480773926,0.3709340989589691,34776388.0,0.7254889607429504,0.8409081697463989
95,0.23621942102909088,0.5924861431121826,36967672.0,0.7364631295204163,0.8482334613800049
100,0.26723191142082214,0.3270948529243469,35541344.0,0.7215991616249084,0.8382893800735474
