epoch,Training_loss,Validation_loss,Burned_pixels,IOU,F1
3,0.6891910433769226,0.9663131833076477,14913573.0,0.25693821907043457,0.4088318645954132
5,0.9087281227111816,0.9192827939987183,18572830.0,0.2910093367099762,0.4508245289325714
7,0.681111752986908,0.865897536277771,18443028.0,0.2782139182090759,0.43531665205955505
9,0.5561341047286987,0.8839832544326782,16148037.0,0.2691315710544586,0.4241192042827606
11,0.6072775721549988,0.9218868017196655,16862194.0,0.40839114785194397,0.5799399018287659
13,0.6341736316680908,0.8605534434318542,18759580.0,0.5105528235435486,0.6759814023971558
15,0.5160594582557678,0.6465968489646912,17576744.0,0.4519941806793213,0.6225839853286743
17,0.5664277672767639,1.0179411172866821,19242560.0,0.3987676799297333,0.570169985294342
19,0.4904324412345886,0.9330579042434692,14584972.0,0.24795746803283691,0.3973812758922577
21,0.471090167760849,0.9503633379936218,16155643.0,0.2607083022594452,0.4135902225971222
23,0.39296796917915344,1.1335458755493164,17963910.0,0.24762384593486786,0.396952748298645
25,0.5765458345413208,0.7719078063964844,18022698.0,0.41551509499549866,0.5870867967605591
27,0.5796636343002319,0.8549329042434692,17813932.0,0.5722090601921082,0.7279045581817627
29,0.49306997656822205,1.677587866783142,17592804.0,0.19646212458610535,0.32840511202812195
31,0.35247713327407837,0.7436968684196472,14391180.0,0.42757391929626465,0.5990217924118042
33,0.4538308382034302,0.8124922513961792,15916014.0,0.2780095338821411,0.43506646156311035
35,0.5255200266838074,0.8761850595474243,16379698.0,0.3079110383987427,0.470844030380249
37,0.35012441873550415,0.8622027635574341,16865234.0,0.4751998484134674,0.6442514061927795
39,0.4591096341609955,1.3573641777038574,15440341.0,0.3087502717971802,0.47182461619377136
41,0.48464950919151306,3.0480477809906006,17982276.0,0.2361668199300766,0.3820953965187073
43,0.4843783378601074,1.382551670074463,16627542.0,0.4988744854927063,0.6656654477119446
45,0.35302209854125977,0.8131680488586426,16052339.0,0.45550817251205444,0.6259095072746277
47,0.3628777265548706,1.1831605434417725,17433696.0,0.213984414935112,0.35253238677978516
49,0.5914188623428345,1.3746970891952515,18017636.0,0.5972725749015808,0.7478655576705933
