epoch,Training_loss,Validation_loss,Burned_pixels,IOU,F1
3,2.1619606018066406,1.0419865846633911,20063036.0,0.277791291475296,0.4347991347312927
6,1.3824172019958496,0.9104622602462769,18034216.0,0.2914189100265503,0.45131585001945496
9,1.0364129543304443,0.8676978945732117,18363752.0,0.28152626752853394,0.43936091661453247
12,0.9744320511817932,0.8398450016975403,16034226.0,0.28887563943862915,0.4482599198818207
15,0.9362688064575195,0.7485953569412231,19626140.0,0.33913514018058777,0.5064987540245056
18,0.7912628650665283,0.7713733911514282,19621786.0,0.31923481822013855,0.48396965861320496
21,0.8272627592086792,0.7419964671134949,20248528.0,0.3340502977371216,0.5008061528205872
24,0.7088996171951294,0.7755559086799622,18075004.0,0.3098708391189575,0.47313186526298523
27,0.8563842177391052,0.8992254137992859,19301706.0,0.2694348096847534,0.4244956970214844
30,0.6659131646156311,0.7964791059494019,19441900.0,0.2966926395893097,0.4576144218444824
33,1.0188251733779907,0.9139525890350342,20132992.0,0.27713051438331604,0.4339893162250519
36,0.7948423624038696,0.9168453812599182,20394480.0,0.2673231363296509,0.42187047004699707
39,0.5461416840553284,0.736801266670227,19998776.0,0.3243121802806854,0.48978206515312195
42,0.7574306130409241,0.8642910718917847,19043264.0,0.2774357497692108,0.43436357378959656
45,0.6178884506225586,0.7749099135398865,18514596.0,0.3231046199798584,0.4884037375450134
48,0.644170343875885,0.6922582983970642,18433744.0,0.36055755615234375,0.5300144553184509
