epoch,LossTrain/Training_loss,LossTrain/Training_rmse_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_rmse_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.19690366089344025,0.26115530729293823,0.12224673479795456,1.1579420566558838,0.3348570168018341,1.0293697118759155,0.0003000000142492354,0.40724676847457886,0.0,0.0,0.17350395023822784,0.15320703387260437
4,0.17052513360977173,0.2188139259815216,0.11788909882307053,0.7071523666381836,0.2581348121166229,0.6302098631858826,0.0003000000142492354,0.402714341878891,0.38572803139686584,0.5567153096199036,0.2774781584739685,0.22205154597759247
6,0.15022532641887665,0.1988128125667572,0.10722928494215012,0.32906439900398254,0.17453062534332275,0.29131457209587097,0.0003000000142492354,0.39078179001808167,0.7078515887260437,0.8289380669593811,0.3991491198539734,0.3206072449684143
8,0.1491464376449585,0.20285142958164215,0.10414506494998932,0.2782455086708069,0.1657589077949524,0.24586781859397888,0.0003000000142492354,0.4091240167617798,0.7427647709846497,0.8523982167243958,0.377000629901886,0.29569733142852783
10,0.13862445950508118,0.19132380187511444,0.09858192503452301,0.3873940110206604,0.20792430639266968,0.34199151396751404,0.0003000000142492354,0.3995215594768524,0.6397944092750549,0.7803348898887634,0.35523083806037903,0.2675975561141968
12,0.1498761773109436,0.1991826742887497,0.1066059023141861,0.442426860332489,0.19561946392059326,0.39263537526130676,0.0003000000142492354,0.3968656659126282,0.6053676009178162,0.7541794180870056,0.3513805866241455,0.28093984723091125
14,0.13874311745166779,0.18393269181251526,0.1016300842165947,0.4367980659008026,0.19594652950763702,0.38804787397384644,0.0003000000142492354,0.3802785575389862,0.601439893245697,0.7511239647865295,0.3506322503089905,0.28691431879997253
16,0.140707328915596,0.19495056569576263,0.09922253340482712,0.4451800584793091,0.20041495561599731,0.3933635652065277,0.0003000000142492354,0.40014755725860596,0.589670717716217,0.7418777942657471,0.3322790265083313,0.27027446031570435
18,0.13093216717243195,0.18767987191677094,0.09246379137039185,0.305038720369339,0.17173907160758972,0.26667138934135437,0.0003000000142492354,0.40493884682655334,0.7092694640159607,0.8299094438552856,0.377532422542572,0.31376171112060547
20,0.15497536957263947,0.1991150826215744,0.1116546168923378,0.4438948929309845,0.2002595216035843,0.39335504174232483,0.0003000000142492354,0.3978049159049988,0.6106284260749817,0.7582486867904663,0.34621763229370117,0.27664265036582947
