epoch,Loss/Training_loss,Loss/Validation_loss,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics/IOU,metrics/F1
5,0.32750803232192993,0.10824067890644073,0.0002562124573159963,0.3897150158882141,0.8389459252357483,0.912420392036438
10,0.25953635573387146,0.09870003908872604,0.00015049999637994915,0.39244863390922546,0.8409463167190552,0.9136022329330444
15,0.2555384635925293,0.09381129592657089,4.4787535443902016e-05,0.39215096831321716,0.8433954119682312,0.9150455594062805
20,0.22557426989078522,0.09161503612995148,9.999999974752427e-07,0.3855193555355072,0.8452938795089722,0.9161617755889893
25,0.24122580885887146,0.0858992263674736,4.4787535443902016e-05,0.3850870430469513,0.853421688079834,0.9209147691726685
30,0.24590693414211273,0.11055634915828705,0.00015049999637994915,0.38730475306510925,0.8273558020591736,0.9055224061012268
35,0.29692506790161133,0.11422660946846008,0.0002562124573159963,0.39254307746887207,0.8408769369125366,0.913561224937439
40,0.2806491255760193,0.12630249559879303,0.0003000000142492354,0.4017421305179596,0.781043291091919,0.8770626783370972
45,0.27447426319122314,0.12847034633159637,0.0002562124573159963,0.39512938261032104,0.8147279620170593,0.897906482219696
50,0.21616099774837494,0.08624118566513062,0.00015049999637994915,0.39474284648895264,0.852064311504364,0.9201238751411438
55,0.2320324182510376,0.09461350739002228,4.4787535443902016e-05,0.39513513445854187,0.837131142616272,0.9113460779190063
60,0.2268693745136261,0.09215602278709412,9.999999974752427e-07,0.37745949625968933,0.8501356244087219,0.9189981818199158
65,0.2202410101890564,0.08941464871168137,4.4787535443902016e-05,0.39919379353523254,0.8466745615005493,0.9169722199440002
70,0.22572925686836243,0.08399602770805359,0.00015049999637994915,0.39463484287261963,0.8530534505844116,0.9207003116607666
75,0.24510136246681213,0.0873502716422081,0.0002562124573159963,0.4049897789955139,0.8546509742736816,0.9216299653053284
80,0.271344929933548,0.16707508265972137,0.0003000000142492354,0.39738890528678894,0.6928063035011292,0.8185299634933472
85,0.24401308596134186,0.16412973403930664,0.0002562124573159963,0.3862510323524475,0.763830304145813,0.8661041259765625
90,0.22723093628883362,0.09437400847673416,0.00015049999637994915,0.37674587965011597,0.8424957394599915,0.9145157933235168
95,0.18925532698631287,0.08978047221899033,4.4787535443902016e-05,0.3908783793449402,0.8392563462257385,0.912604033946991
100,0.20357993245124817,0.08562038093805313,9.999999974752427e-07,0.39191630482673645,0.8474801182746887,0.9174443483352661
