epoch,LossTrain/Training_loss,LossTrain/Training_rmse_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_rmse_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.29011768102645874,0.2759949266910553,0.21048277616500854,0.48523929715156555,0.23309026658535004,0.42442432045936584,0.0003000000142492354,0.40152373909950256,0.569962203502655,0.7260839939117432,0.31833016872406006,0.24472489953041077
4,0.20656773447990417,0.2306652069091797,0.15076804161071777,0.43126630783081055,0.19954410195350647,0.3805323541164398,0.0003000000142492354,0.420857697725296,0.5832434296607971,0.7367703914642334,0.3261771500110626,0.26048576831817627
6,0.19874374568462372,0.2239658534526825,0.14517199993133545,0.384129136800766,0.19756340980529785,0.33876878023147583,0.0003000000142492354,0.42071661353111267,0.6110057234764099,0.7585394978523254,0.36974895000457764,0.29690080881118774
8,0.17392633855342865,0.21078231930732727,0.12694750726222992,0.3768092691898346,0.16815157234668732,0.33645352721214294,0.0003000000142492354,0.41371411085128784,0.6741634607315063,0.80537348985672,0.3766949772834778,0.3108401894569397
10,0.18764735758304596,0.21529215574264526,0.13830240070819855,0.40836048126220703,0.1753508448600769,0.36061128973960876,0.0003000000142492354,0.40986892580986023,0.6198780536651611,0.765339195728302,0.35109859704971313,0.2855086028575897
12,0.15764813125133514,0.199789896607399,0.11517088860273361,0.32183822989463806,0.15627752244472504,0.28475943207740784,0.0003000000142492354,0.4290190637111664,0.7012307643890381,0.8243805170059204,0.3977363705635071,0.31863152980804443
14,0.13762490451335907,0.18802520632743835,0.09963535517454147,0.4933232367038727,0.2656702995300293,0.4176989793777466,0.0003000000142492354,0.42750996351242065,0.44418713450431824,0.6151379346847534,0.2869679033756256,0.1946728676557541
16,0.16683624684810638,0.2051135152578354,0.1215587928891182,0.33292660117149353,0.16273824870586395,0.2945570647716522,0.0003000000142492354,0.40952786803245544,0.670808732509613,0.8029748797416687,0.3862399458885193,0.3158991038799286
18,0.14820586144924164,0.2002674788236618,0.10563777387142181,0.42797261476516724,0.17411397397518158,0.37713390588760376,0.0003000000142492354,0.4367496073246002,0.614037811756134,0.7608717083930969,0.3573811650276184,0.29134154319763184
20,0.13798367977142334,0.19247454404830933,0.0981682538986206,0.3231182396411896,0.1574096381664276,0.2836051881313324,0.0003000000142492354,0.42119812965393066,0.6950839757919312,0.8201174736022949,0.3879660964012146,0.3160909116268158
