epoch,Loss/Training_loss,Loss/Validation_loss,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics/IOU,metrics/F1
5,0.41356295347213745,0.4658268690109253,0.0003000000142492354,0.5011501908302307,0.21695949137210846,0.35655996203422546
10,0.3595542013645172,0.2207428514957428,0.0003000000142492354,0.5105251669883728,0.6459420323371887,0.7848904132843018
15,0.3388577103614807,0.198983296751976,0.0003000000142492354,0.5145776271820068,0.573529839515686,0.728972315788269
20,0.2974088788032532,0.1688404679298401,0.0003000000142492354,0.5150410532951355,0.5726079940795898,0.7282272577285767
25,0.27777421474456787,0.12604361772537231,0.0003000000142492354,0.510185718536377,0.6646429896354675,0.7985411882400513
30,0.27468881011009216,0.15390630066394806,0.0003000000142492354,0.510286808013916,0.5231481790542603,0.6869301199913025
35,0.2781883180141449,0.11234655231237411,0.0003000000142492354,0.504609227180481,0.6722210645675659,0.8039858937263489
40,0.23991961777210236,0.21815364062786102,0.0003000000142492354,0.5166440010070801,0.4102594256401062,0.5818212032318115
45,0.22211702167987823,0.12697166204452515,0.0003000000142492354,0.5168591141700745,0.6459338068962097,0.7848843336105347
50,0.23127399384975433,0.12503209710121155,0.0003000000142492354,0.5016375184059143,0.6132878661155701,0.7602956295013428
55,0.19919264316558838,0.11045324057340622,0.0003000000142492354,0.5108962059020996,0.692470133304596,0.8182952404022217
60,0.21947500109672546,0.2012617588043213,0.0003000000142492354,0.5136446952819824,0.5421604514122009,0.7031180262565613
65,0.211250439286232,0.31439512968063354,0.0003000000142492354,0.5052142143249512,0.6295773983001709,0.7726879119873047
70,0.19832073152065277,0.11396705359220505,0.0003000000142492354,0.5070884227752686,0.6461694240570068,0.7850581407546997
75,0.193716898560524,0.10831031948328018,0.0003000000142492354,0.5006412863731384,0.6647910475730896,0.7986481189727783
80,0.1842421144247055,0.17495204508304596,0.0003000000142492354,0.50928795337677,0.5139403343200684,0.6789440512657166
