epoch,LossTrain/Training_loss,LossTrain/Training_loss_severity,LossTrain/Training_loss_delineation,LossVal/Validation_loss,LossVal/Validation_loss_severity,LossVal/Validation_loss_delineation,optimizer/Learning_rate,metrics/Burned_pixels_epoch,metrics_Delineation/IOU,metrics_Delineation/F1,metrics_Grading/F1,metrics_Grading/IOU
2,0.5639106631278992,0.1308548003435135,0.4330558478832245,0.809333860874176,0.1381668597459793,0.6711670160293579,0.0003000000142492354,0.40570077300071716,0.5766695737838745,0.731503427028656,0.015980394557118416,0.015980394557118416
4,0.45566025376319885,0.08733299374580383,0.36832723021507263,0.46374064683914185,0.10740601271390915,0.3563346564769745,0.0003000000142492354,0.4197339415550232,0.6637133955955505,0.7978699207305908,0.08957969397306442,0.08957969397306442
6,0.4320812225341797,0.08479876071214676,0.34728243947029114,0.3842111825942993,0.08803949505090714,0.29617175459861755,0.0003000000142492354,0.39971402287483215,0.8197838664054871,0.9009683728218079,0.10127080976963043,0.10127080976963043
8,0.4290677011013031,0.076844722032547,0.3522229790687561,0.39951080083847046,0.08791264146566391,0.31159818172454834,0.0003000000142492354,0.4074503779411316,0.7147129774093628,0.8336240649223328,0.09925168007612228,0.09925168007612228
10,0.44483256340026855,0.07637514173984528,0.3684574067592621,0.32817116379737854,0.07029078900814056,0.25788041949272156,0.0003000000142492354,0.39243823289871216,0.7885379195213318,0.8817681670188904,0.11856941878795624,0.11856941878795624
12,0.4015653133392334,0.06616243720054626,0.33540287613868713,0.4321220815181732,0.08387541025876999,0.3482467234134674,0.0003000000142492354,0.4136034846305847,0.6218739748001099,0.7668585777282715,0.10738183557987213,0.10738183557987213
14,0.3540709316730499,0.06096544489264488,0.29310551285743713,0.30864670872688293,0.05971730872988701,0.24892936646938324,0.0003000000142492354,0.4087349474430084,0.7837100625038147,0.8787415027618408,0.11906846612691879,0.11906846612691879
16,0.35413941740989685,0.05553438514471054,0.2986050248146057,0.44215667247772217,0.07100863009691238,0.37114807963371277,0.0003000000142492354,0.40934550762176514,0.5717011094093323,0.7274934649467468,0.09956370294094086,0.09956370294094086
18,0.3397522270679474,0.0550076998770237,0.284744530916214,0.2640577554702759,0.05122990906238556,0.2128278762102127,0.0003000000142492354,0.3884405195713043,0.8476024270057678,0.9175159931182861,0.13440531492233276,0.13440531492233276
20,0.32145819067955017,0.05059800669550896,0.2708601951599121,0.3961440622806549,0.0653974860906601,0.3307465612888336,0.0003000000142492354,0.3995760977268219,0.5977601408958435,0.7482476234436035,0.15582391619682312,0.15582391619682312
22,0.30988946557044983,0.04946339130401611,0.2604260742664337,0.24917344748973846,0.044002775102853775,0.205170676112175,0.0003000000142492354,0.4022001624107361,0.8452252745628357,0.9161216020584106,0.2741592526435852,0.2741592526435852
24,0.29862990975379944,0.04429025202989578,0.25433966517448425,0.19441109895706177,0.03299210965633392,0.16141903400421143,2.9999999242136255e-05,0.4037143886089325,0.8695391416549683,0.9302176237106323,0.32244399189949036,0.32244399189949036
26,0.30171290040016174,0.045689959079027176,0.25602293014526367,0.21144920587539673,0.036462798714637756,0.17498637735843658,2.9999999242136255e-05,0.40048474073410034,0.8311399221420288,0.9077841639518738,0.30124399065971375,0.30124399065971375
28,0.2701387405395508,0.04339727386832237,0.2267414778470993,0.18758107721805573,0.03443201258778572,0.1531490832567215,2.9999999242136255e-05,0.40273961424827576,0.8609152436256409,0.9252600073814392,0.3158511519432068,0.3158511519432068
30,0.28179633617401123,0.04304857179522514,0.2387477457523346,0.1982259750366211,0.035395603626966476,0.1628304123878479,2.9999999242136255e-05,0.3969615399837494,0.8467682003974915,0.9170270562171936,0.3105262517929077,0.3105262517929077
32,0.2826271653175354,0.04502464458346367,0.23760253190994263,0.20662502944469452,0.0364953987300396,0.170129656791687,2.9999999242136255e-05,0.3893750309944153,0.8405936360359192,0.9133940935134888,0.3113235831260681,0.3113235831260681
34,0.28493261337280273,0.04352227970957756,0.24141034483909607,0.18001355230808258,0.03243717923760414,0.14757639169692993,2.9999999242136255e-05,0.41368716955184937,0.8704690933227539,0.9307495355606079,0.3191836476325989,0.3191836476325989
36,0.29137876629829407,0.04684852063655853,0.24453026056289673,0.17935031652450562,0.03245023265480995,0.14690011739730835,2.9999999242136255e-05,0.40448543429374695,0.8692939877510071,0.930077314376831,0.3184417188167572,0.3184417188167572
38,0.28023770451545715,0.040694158524274826,0.23954354226589203,0.1870124191045761,0.03198087960481644,0.15503151714801788,2.9999999242136255e-05,0.4205608665943146,0.8460111618041992,0.9165829420089722,0.3197955787181854,0.3197955787181854
40,0.2991008758544922,0.04388668015599251,0.25521421432495117,0.18929894268512726,0.031832531094551086,0.15746639668941498,2.9999999242136255e-05,0.38408002257347107,0.8554130792617798,0.9220728874206543,0.31535887718200684,0.31535887718200684
42,0.2964218854904175,0.04374752566218376,0.2526743710041046,0.18241558969020844,0.03152548149228096,0.15089012682437897,2.9999999242136255e-05,0.39576172828674316,0.8646238446235657,0.9273976683616638,0.3195240795612335,0.3195240795612335
44,0.27334070205688477,0.04194267839193344,0.23139803111553192,0.18642166256904602,0.03256962448358536,0.15385206043720245,2.9999999242136255e-05,0.407826691865921,0.8375634551048279,0.911602258682251,0.31377509236335754,0.31377509236335754
